park_code,species_id
'ACAD','100001'
'ACAD','100002'
'ACAD','100003'
'ARCH','100004'
'ARCH','100005'
'ARCH','100006'
'BADL','100007'
'BADL','100008'
'BADL','100009'
'BADL','100010'
'BIBE','100011'
'BIBE','100012'
'BIBE','100013'
'BISC','100014'
'BISC','100015'
'BISC','100016'
'BISC','100017'
'BISC','100018'
'BLCA','100019'
'BLCA','100020'
'BLCA','100021'
'BLCA','100022'
'BRCA','100023'
'BRCA','100024'
'BRCA','100025'
'CANY','100026'
'CANY','100027'
'CANY','100028'
'CANY','100029'
'CARE','100013'
'CARE','100014'
'CARE','100032'
'CAVE','100033'
'CAVE','100034'
'CAVE','100035'
'CHIS','100032'
'CHIS','100036'
'CHIS','100038'
'CONG','100015'
'CONG','100039'
'CONG','100040'
'CONG','100041'
'CRLA','100043'
'CRLA','100044'
'CRLA','100045'
'CUVA','100002'
'CUVA','100046'
'CUVA','100047'
'DENA','100049'
'DENA','100050'
'DENA','100051'
'DEVA','100052'
'DEVA','100053'
'DRTO','100016'
'DRTO','100054'
'DRTO','100056'
'EVER','100057'
'EVER','100058'
'EVER','100059'
'GAAR','100060'
'GAAR','100061'
'GLAC','100009'
'GLAC','100062'
'GLAC','100063'
'GLBA','100050'
'GLBA','100063'
'GLBA','100066'
'GLBA','100067'
'GRBA','100019'
'GRBA','100069'
'GRBA','100070'
'GRBA','100071'
'GRCA','100003'
'GRCA','100014'
'GRCA','100034'
'GRCA','100074'
'GRSA','100026'
'GRSA','100029'
'GRSA','100032'
'GRSA','100077'
'GRSM','100081'
'GRSM','100082'
'GRSM','100083'
'GRTE','100069'
'GRTE','100084'
'GRTE','100085'
'GUMO','100009'
'GUMO','100088'
'GUMO','100089'
'HALE','100090'
'HALE','100091'
'HAVO','100091'
'HAVO','100093'
'HOSP','100094'
'HOSP','100095'
'HOSP','100096'
'ISRO','100095'
'ISRO','100097'
'JOTR','100099'
'JOTR','100100'
'JOTR','100101'
'KATM','100066'
'KATM','100067'
'KEFJ','100105'
'KEFJ','100066'
'KEFJ','100106'
'KOVA','100105'
'KOVA','100107'
'KOVA','100109'
'LACL','100019'
'LACL','100047'
'LACL','100110'
'LAVO','100032'
'LAVO','100022'
'LAVO','100114'
'MACA','100001'
'MACA','100116'
'MEVE','100028'
'MEVE','100118'
'MEVE','100119'
'MORA','100121'
'MORA','100122'
'MORA','100123'
'NOCA','100026'
'NOCA','100045'
'NOCA','100124'
'OLYM','100067'
'OLYM','100127'
'PEFO','100129'
'PEFO','100035'
'PINN','100028'
'PINN','100131'
'PINN','100133'
'REDW','100003'
'REDW','100006'
'REDW','100136'
'ROMO','100021'
'ROMO','100084'
'ROMO','100137'
'SAGU','100003'
'SAGU','100140'
'SAGU','100142'
'SEKI','100069'
'SEKI','100144'
'SEKI','100145'
'SHEN','100001'
'SHEN','100014'
'SHEN','100147'
'THRO','100028'
'THRO','100149'
'THRO','100151'
'VOYA','100069'
'VOYA','100145'
'VOYA','100153'
'WICA','100093'
'WICA','100029'
'WICA','100032'
'WRST','100049'
'WRST','100067'
'WRST','100106'
'YELL','100023'
'YELL','100162'
'YELL','100163'
'YOSE','100011'
'YOSE','100164'
'YOSE','100166'
'ZION','100019'
'ZION','100034'
'ZION','100124'
